model name,accuracy,auc_roc,f1,mcc
Logistic Regression,0.8021835912020306,0.8448085809256642,0.47858197932053176,0.3956102683389647
K-Neighbors,0.8082495617626626,0.778555117969906,0.45280960174577195,0.3541096193689454
Random Forest,0.8393180191391246,0.799226300035113,0.4400294334069168,0.3450832308316917
GaussianNB,0.72704164410372,0.8285771489285219,0.41676367869615827,0.3340871861075092
Decision Tree,0.8346412258395495,0.6826040365569821,0.4257498171177761,0.3278286001050035
