model name,accuracy,auc_roc,f1,mcc
Logistic Regression,0.8683049767953711,0.8432315283114882,0.4449152542372881,0.43498073263152714
GaussianNB,0.8462420289301915,0.8339246806648571,0.5117460317460318,0.42441037793355474
K-Neighbors,0.8667443885198709,0.7973868477073014,0.4577603143418467,0.4201947891733648
Random Forest,0.8571574411345955,0.7974879019322783,0.45556514236410695,0.3845096631730981
Decision Tree,0.8338415204352836,0.6572401844685154,0.39874411302982726,0.3041104572394015
