model name,accuracy,auc_roc,f1,mcc
Logistic Regression,0.8869621066152859,0.8432584508254592,0.4382978723404255,0.4289719478258027
GaussianNB,0.835367159066581,0.8339246806648571,0.5117460317460318,0.42441037793355474
K-Neighbors,0.8764718475701134,0.7782263599471864,0.45923149015932524,0.4076630946269424
Random Forest,0.8631984585741811,0.7957223917203031,0.45337895637296827,0.3803922671529524
Decision Tree,0.8360094198244488,0.6572401844685154,0.39874411302982726,0.3041104572394015
